ED,Reported As,Reporting,Michael A. Walrond Jr.,Adriano Espaillat,Charles B. Rangel,Scattered,Yolanda Garcia,Total Votes,p_Michael A. Walrond Jr.,p_Adriano Espaillat,p_Charles B. Rangel,p_Scattered,p_Yolanda Garcia,winner,winner_p
71092,71092,100,12,50,79,1,1,143,0.08391608391608392,0.34965034965034963,0.5524475524475524,0.006993006993006993,0.006993006993006993,Charles B. Rangel,0.5524475524475524
71093,71022,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
71094,71094,100,4,13,39,0,0,56,0.07142857142857142,0.23214285714285715,0.6964285714285714,0.0,0.0,Charles B. Rangel,0.6964285714285714
71095,71095,100,4,22,36,0,0,62,0.06451612903225806,0.3548387096774194,0.5806451612903226,0.0,0.0,Charles B. Rangel,0.5806451612903226
71096,71096,100,8,8,60,0,0,76,0.10526315789473684,0.10526315789473684,0.7894736842105263,0.0,0.0,Charles B. Rangel,0.7894736842105263
71200,71084,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
71201,71084,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
72001,72001,100,8,24,43,0,0,75,0.10666666666666667,0.32,0.5733333333333334,0.0,0.0,Charles B. Rangel,0.5733333333333334
72002,72002,100,10,95,70,1,2,178,0.056179775280898875,0.5337078651685393,0.39325842696629215,0.0056179775280898875,0.011235955056179775,Adriano Espaillat,0.5337078651685393
72003,72003,100,4,106,34,0,1,145,0.027586206896551724,0.7310344827586207,0.23448275862068965,0.0,0.006896551724137931,Adriano Espaillat,0.7310344827586207
72004,72004,100,1,134,46,0,0,181,0.0055248618784530384,0.7403314917127072,0.2541436464088398,0.0,0.0,Adriano Espaillat,0.7403314917127072
72005,72005,100,0,135,31,2,4,172,0.0,0.7848837209302325,0.18023255813953487,0.011627906976744186,0.023255813953488372,Adriano Espaillat,0.7848837209302325
72006,72006,100,1,102,38,0,1,142,0.007042253521126761,0.7183098591549296,0.2676056338028169,0.0,0.007042253521126761,Adriano Espaillat,0.7183098591549296
72007,72007,100,6,117,29,1,3,156,0.038461538461538464,0.75,0.1858974358974359,0.00641025641025641,0.019230769230769232,Adriano Espaillat,0.75
