ED,Reported As,Reporting,Ruth H. Thompson,Crystal Collins,Scattered,Total Votes,p_Ruth H. Thompson,p_Crystal Collins,p_Scattered,winner,winner_p
83014,83014,100,118,24,1,143,0.8251748251748252,0.16783216783216784,0.006993006993006993,Ruth H. Thompson,0.8251748251748252
83015,83015,100,44,8,0,52,0.8461538461538461,0.15384615384615385,0.0,Ruth H. Thompson,0.8461538461538461
83016,83016,100,47,9,0,56,0.8392857142857143,0.16071428571428573,0.0,Ruth H. Thompson,0.8392857142857143
83017,83017,100,47,1,2,50,0.94,0.02,0.04,Ruth H. Thompson,0.94
83018,83018,100,47,5,0,52,0.9038461538461539,0.09615384615384616,0.0,Ruth H. Thompson,0.9038461538461539
83019,83019,100,37,2,0,39,0.9487179487179487,0.05128205128205128,0.0,Ruth H. Thompson,0.9487179487179487
83020,83020,100,26,2,0,28,0.9285714285714286,0.07142857142857142,0.0,Ruth H. Thompson,0.9285714285714286
83021,83021,100,42,4,0,46,0.9130434782608695,0.08695652173913043,0.0,Ruth H. Thompson,0.9130434782608695
83022,83022,100,41,11,0,52,0.7884615384615384,0.21153846153846154,0.0,Ruth H. Thompson,0.7884615384615384
83023,83023,100,42,8,0,50,0.84,0.16,0.0,Ruth H. Thompson,0.84
83024,83024,100,24,0,0,24,1.0,0.0,0.0,Ruth H. Thompson,1.0
83025,83025,100,32,4,1,37,0.8648648648648649,0.10810810810810811,0.02702702702702703,Ruth H. Thompson,0.8648648648648649
83026,83026,100,10,1,0,11,0.9090909090909091,0.09090909090909091,0.0,Ruth H. Thompson,0.9090909090909091
83027,83027,100,46,5,1,52,0.8846153846153846,0.09615384615384616,0.019230769230769232,Ruth H. Thompson,0.8846153846153846
83028,83028,100,88,12,1,101,0.8712871287128713,0.1188118811881188,0.009900990099009901,Ruth H. Thompson,0.8712871287128713
83029,83029,100,46,2,0,48,0.9583333333333334,0.041666666666666664,0.0,Ruth H. Thompson,0.9583333333333334
83030,83030,100,45,13,0,58,0.7758620689655172,0.22413793103448276,0.0,Ruth H. Thompson,0.7758620689655172
83031,83031,100,87,10,0,97,0.8969072164948454,0.10309278350515463,0.0,Ruth H. Thompson,0.8969072164948454
83032,83032,100,44,3,0,47,0.9361702127659575,0.06382978723404255,0.0,Ruth H. Thompson,0.9361702127659575
83033,83033,100,111,7,0,118,0.940677966101695,0.059322033898305086,0.0,Ruth H. Thompson,0.940677966101695
