ED,Reported As,Reporting,Ed A. Hartzog,Gus Christensen,Rebecca A. Seawright,Scattered,David J. Menegon,Total Votes,p_Ed A. Hartzog,p_Gus Christensen,p_Rebecca A. Seawright,p_Scattered,p_David J. Menegon,winner,winner_p
76040,76040,100,6,36,40,0,9,91,0.06593406593406594,0.3956043956043956,0.43956043956043955,0.0,0.0989010989010989,Rebecca A. Seawright,0.43956043956043955
76041,76041,100,6,34,31,1,8,80,0.075,0.425,0.3875,0.0125,0.1,Gus Christensen,0.425
76042,76042,100,2,75,59,0,10,146,0.0136986301369863,0.5136986301369864,0.4041095890410959,0.0,0.0684931506849315,Gus Christensen,0.5136986301369864
76043,76043,100,7,39,28,0,1,75,0.09333333333333334,0.52,0.37333333333333335,0.0,0.013333333333333334,Gus Christensen,0.52
76044,76044,100,3,30,42,0,9,84,0.03571428571428571,0.35714285714285715,0.5,0.0,0.10714285714285714,Rebecca A. Seawright,0.5
76045,76045,100,5,14,44,0,5,68,0.07352941176470588,0.20588235294117646,0.6470588235294118,0.0,0.07352941176470588,Rebecca A. Seawright,0.6470588235294118
76046,76046,100,7,60,52,1,17,137,0.051094890510948905,0.43795620437956206,0.3795620437956204,0.0072992700729927005,0.12408759124087591,Gus Christensen,0.43795620437956206
76047,76047,100,0,13,27,1,4,45,0.0,0.28888888888888886,0.6,0.022222222222222223,0.08888888888888889,Rebecca A. Seawright,0.6
76048,76048,100,0,25,18,0,4,47,0.0,0.5319148936170213,0.3829787234042553,0.0,0.0851063829787234,Gus Christensen,0.5319148936170213
76049,76049,100,8,47,28,0,2,85,0.09411764705882353,0.5529411764705883,0.32941176470588235,0.0,0.023529411764705882,Gus Christensen,0.5529411764705883
76050,76050,100,10,24,42,0,13,89,0.11235955056179775,0.2696629213483146,0.47191011235955055,0.0,0.14606741573033707,Rebecca A. Seawright,0.47191011235955055
76051,76051,100,0,40,47,1,16,104,0.0,0.38461538461538464,0.4519230769230769,0.009615384615384616,0.15384615384615385,Rebecca A. Seawright,0.4519230769230769
76052,76052,100,2,28,46,0,3,79,0.02531645569620253,0.35443037974683544,0.5822784810126582,0.0,0.0379746835443038,Rebecca A. Seawright,0.5822784810126582
76053,76053,100,2,14,31,1,7,55,0.03636363636363636,0.2545454545454545,0.5636363636363636,0.01818181818181818,0.12727272727272726,Rebecca A. Seawright,0.5636363636363636
76054,76054,100,0,18,44,2,5,69,0.0,0.2608695652173913,0.6376811594202898,0.028985507246376812,0.07246376811594203,Rebecca A. Seawright,0.6376811594202898
