ED,Reported As,Reporting,S.J. Jung,Toby Ann Stavisky,Scattered,Total Votes,p_S.J. Jung,p_Toby Ann Stavisky,p_Scattered,winner,winner_p
40037,40037,100,43,53,0,96,0.4479166666666667,0.5520833333333334,0.0,Toby Ann Stavisky,0.5520833333333334
40038,40038,100,34,29,1,64,0.53125,0.453125,0.015625,S.J. Jung,0.53125
40039,40039,100,61,41,1,103,0.5922330097087378,0.39805825242718446,0.009708737864077669,S.J. Jung,0.5922330097087378
40040,40040,100,41,27,0,68,0.6029411764705882,0.39705882352941174,0.0,S.J. Jung,0.6029411764705882
40041,40041,100,51,50,0,101,0.504950495049505,0.49504950495049505,0.0,S.J. Jung,0.504950495049505
40042,40042,100,35,47,0,82,0.4268292682926829,0.573170731707317,0.0,Toby Ann Stavisky,0.573170731707317
40043,40043,100,37,40,0,77,0.4805194805194805,0.5194805194805194,0.0,Toby Ann Stavisky,0.5194805194805194
40044,40044,100,22,23,0,45,0.4888888888888889,0.5111111111111111,0.0,Toby Ann Stavisky,0.5111111111111111
40045,40045,100,12,22,1,35,0.34285714285714286,0.6285714285714286,0.02857142857142857,Toby Ann Stavisky,0.6285714285714286
40046,40046,100,12,21,0,33,0.36363636363636365,0.6363636363636364,0.0,Toby Ann Stavisky,0.6363636363636364
40052,40052,100,36,16,0,52,0.6923076923076923,0.3076923076923077,0.0,S.J. Jung,0.6923076923076923
40053,40053,100,26,6,1,33,0.7878787878787878,0.18181818181818182,0.030303030303030304,S.J. Jung,0.7878787878787878
