ED,Reported As,Reporting,Roberta C. Gelb,Thomas McManus,Noah Pfefferblit,Thomas Duane,James Simpson,Lucille Ognibene,Hugh Weinberg,Lydia Hummel,Burt Lazarin,Denisse M. Frand,Anthony J. Setteducate,Patricia Goff,Raanan Geberer,Scattered,Valerie Miller,Roberto B. English,Ernest Modarelli,Jay Marcus,Craig L. Slutzkin,Tracy Westmoreland,Total Votes,p_Roberta C. Gelb,p_Thomas McManus,p_Noah Pfefferblit,p_Thomas Duane,p_James Simpson,p_Lucille Ognibene,p_Hugh Weinberg,p_Lydia Hummel,p_Burt Lazarin,p_Denisse M. Frand,p_Anthony J. Setteducate,p_Patricia Goff,p_Raanan Geberer,p_Scattered,p_Valerie Miller,p_Roberto B. English,p_Ernest Modarelli,p_Jay Marcus,p_Craig L. Slutzkin,p_Tracy Westmoreland,winner,winner_p
75080,75080,100,23,28,13,39,18,26,12,23,11,22,8,27,13,0,23,12,10,16,10,26,360,0.06388888888888888,0.07777777777777778,0.03611111111111111,0.10833333333333334,0.05,0.07222222222222222,0.03333333333333333,0.06388888888888888,0.030555555555555555,0.06111111111111111,0.022222222222222223,0.075,0.03611111111111111,0.0,0.06388888888888888,0.03333333333333333,0.027777777777777776,0.044444444444444446,0.027777777777777776,0.07222222222222222,Thomas Duane,0.10833333333333334
75081,75081,100,10,15,7,14,8,11,6,8,4,10,5,8,5,11,13,6,7,9,3,13,173,0.057803468208092484,0.08670520231213873,0.04046242774566474,0.08092485549132948,0.046242774566473986,0.06358381502890173,0.03468208092485549,0.046242774566473986,0.023121387283236993,0.057803468208092484,0.028901734104046242,0.046242774566473986,0.028901734104046242,0.06358381502890173,0.07514450867052024,0.03468208092485549,0.04046242774566474,0.05202312138728324,0.017341040462427744,0.07514450867052024,Thomas McManus,0.08670520231213873
75082,75082,100,17,20,11,22,11,23,8,18,9,17,6,14,10,0,22,14,4,16,7,26,275,0.06181818181818182,0.07272727272727272,0.04,0.08,0.04,0.08363636363636363,0.02909090909090909,0.06545454545454546,0.03272727272727273,0.06181818181818182,0.02181818181818182,0.05090909090909091,0.03636363636363636,0.0,0.08,0.05090909090909091,0.014545454545454545,0.05818181818181818,0.025454545454545455,0.09454545454545454,Tracy Westmoreland,0.09454545454545454
75083,75083,100,14,33,18,31,22,23,8,14,10,21,10,16,9,0,22,11,11,22,4,23,322,0.043478260869565216,0.10248447204968944,0.055900621118012424,0.09627329192546584,0.06832298136645963,0.07142857142857142,0.024844720496894408,0.043478260869565216,0.031055900621118012,0.06521739130434782,0.031055900621118012,0.049689440993788817,0.027950310559006212,0.0,0.06832298136645963,0.034161490683229816,0.034161490683229816,0.06832298136645963,0.012422360248447204,0.07142857142857142,Thomas McManus,0.10248447204968944
75084,75084,100,10,20,16,25,13,17,6,8,10,17,5,9,4,4,17,6,6,13,9,21,236,0.0423728813559322,0.0847457627118644,0.06779661016949153,0.1059322033898305,0.05508474576271186,0.07203389830508475,0.025423728813559324,0.03389830508474576,0.0423728813559322,0.07203389830508475,0.0211864406779661,0.038135593220338986,0.01694915254237288,0.01694915254237288,0.07203389830508475,0.025423728813559324,0.025423728813559324,0.05508474576271186,0.038135593220338986,0.08898305084745763,Thomas Duane,0.1059322033898305
75085,75085,100,13,13,8,18,6,11,6,13,8,12,7,13,7,6,10,7,11,8,6,12,195,0.06666666666666667,0.06666666666666667,0.041025641025641026,0.09230769230769231,0.03076923076923077,0.05641025641025641,0.03076923076923077,0.06666666666666667,0.041025641025641026,0.06153846153846154,0.035897435897435895,0.06666666666666667,0.035897435897435895,0.03076923076923077,0.05128205128205128,0.035897435897435895,0.05641025641025641,0.041025641025641026,0.03076923076923077,0.06153846153846154,Thomas Duane,0.09230769230769231
75086,75086,100,7,3,2,9,3,3,7,5,4,3,4,6,5,0,4,6,3,5,4,4,87,0.08045977011494253,0.034482758620689655,0.022988505747126436,0.10344827586206896,0.034482758620689655,0.034482758620689655,0.08045977011494253,0.05747126436781609,0.04597701149425287,0.034482758620689655,0.04597701149425287,0.06896551724137931,0.05747126436781609,0.0,0.04597701149425287,0.06896551724137931,0.034482758620689655,0.05747126436781609,0.04597701149425287,0.04597701149425287,Thomas Duane,0.10344827586206896
75087,75087,100,12,3,5,13,5,9,7,11,7,8,6,11,8,0,9,6,8,4,9,8,149,0.08053691275167785,0.020134228187919462,0.03355704697986577,0.087248322147651,0.03355704697986577,0.06040268456375839,0.04697986577181208,0.0738255033557047,0.04697986577181208,0.053691275167785234,0.040268456375838924,0.0738255033557047,0.053691275167785234,0.0,0.06040268456375839,0.040268456375838924,0.053691275167785234,0.026845637583892617,0.06040268456375839,0.053691275167785234,Thomas Duane,0.087248322147651
75088,75088,100,17,11,11,10,7,12,11,16,11,11,6,15,6,0,13,12,8,10,10,12,209,0.08133971291866028,0.05263157894736842,0.05263157894736842,0.04784688995215311,0.03349282296650718,0.05741626794258373,0.05263157894736842,0.07655502392344497,0.05263157894736842,0.05263157894736842,0.028708133971291867,0.07177033492822966,0.028708133971291867,0.0,0.06220095693779904,0.05741626794258373,0.03827751196172249,0.04784688995215311,0.04784688995215311,0.05741626794258373,Roberta C. Gelb,0.08133971291866028
75089,75089,100,7,2,1,10,2,4,9,9,5,2,6,8,6,0,4,4,3,6,7,4,99,0.0707070707070707,0.020202020202020204,0.010101010101010102,0.10101010101010101,0.020202020202020204,0.04040404040404041,0.09090909090909091,0.09090909090909091,0.050505050505050504,0.020202020202020204,0.06060606060606061,0.08080808080808081,0.06060606060606061,0.0,0.04040404040404041,0.04040404040404041,0.030303030303030304,0.06060606060606061,0.0707070707070707,0.04040404040404041,Thomas Duane,0.10101010101010101
75090,75090,100,8,6,4,8,5,6,4,7,3,5,2,7,3,0,5,2,4,4,2,7,92,0.08695652173913043,0.06521739130434782,0.043478260869565216,0.08695652173913043,0.05434782608695652,0.06521739130434782,0.043478260869565216,0.07608695652173914,0.03260869565217391,0.05434782608695652,0.021739130434782608,0.07608695652173914,0.03260869565217391,0.0,0.05434782608695652,0.021739130434782608,0.043478260869565216,0.043478260869565216,0.021739130434782608,0.07608695652173914,Tie,0.08695652173913043
75091,75091,100,16,9,11,14,10,10,14,13,7,10,4,15,4,0,16,7,4,16,14,14,208,0.07692307692307693,0.04326923076923077,0.052884615384615384,0.0673076923076923,0.04807692307692308,0.04807692307692308,0.0673076923076923,0.0625,0.03365384615384615,0.04807692307692308,0.019230769230769232,0.07211538461538461,0.019230769230769232,0.0,0.07692307692307693,0.03365384615384615,0.019230769230769232,0.07692307692307693,0.0673076923076923,0.0673076923076923,Tie,0.07692307692307693
75092,75092,100,18,8,8,11,6,12,12,13,8,13,3,17,14,0,14,8,3,13,8,13,202,0.0891089108910891,0.039603960396039604,0.039603960396039604,0.054455445544554455,0.0297029702970297,0.0594059405940594,0.0594059405940594,0.06435643564356436,0.039603960396039604,0.06435643564356436,0.01485148514851485,0.08415841584158416,0.06930693069306931,0.0,0.06930693069306931,0.039603960396039604,0.01485148514851485,0.06435643564356436,0.039603960396039604,0.06435643564356436,Roberta C. Gelb,0.0891089108910891
75093,75085,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
75094,75094,100,24,12,8,27,11,12,15,16,8,13,7,19,10,0,16,12,9,17,11,17,264,0.09090909090909091,0.045454545454545456,0.030303030303030304,0.10227272727272728,0.041666666666666664,0.045454545454545456,0.056818181818181816,0.06060606060606061,0.030303030303030304,0.04924242424242424,0.026515151515151516,0.07196969696969698,0.03787878787878788,0.0,0.06060606060606061,0.045454545454545456,0.03409090909090909,0.06439393939393939,0.041666666666666664,0.06439393939393939,Thomas Duane,0.10227272727272728
75095,75095,100,31,18,14,33,12,22,27,27,23,19,15,28,20,0,22,24,14,21,24,18,412,0.07524271844660194,0.043689320388349516,0.03398058252427184,0.08009708737864078,0.02912621359223301,0.05339805825242718,0.06553398058252427,0.06553398058252427,0.055825242718446605,0.04611650485436893,0.03640776699029126,0.06796116504854369,0.04854368932038835,0.0,0.05339805825242718,0.05825242718446602,0.03398058252427184,0.050970873786407765,0.05825242718446602,0.043689320388349516,Thomas Duane,0.08009708737864078
