ED,Reported As,Reporting,Michael Brienza,Scattered,Nick Rizzo,Total Votes,p_Michael Brienza,p_Scattered,p_Nick Rizzo,winner,winner_p
50072,50072,100,13,2,8,23,0.5652173913043478,0.08695652173913043,0.34782608695652173,Michael Brienza,0.5652173913043478
50073,50073,100,14,2,1,17,0.8235294117647058,0.11764705882352941,0.058823529411764705,Michael Brienza,0.8235294117647058
50074,50074,100,38,0,7,45,0.8444444444444444,0.0,0.15555555555555556,Michael Brienza,0.8444444444444444
50075,50075,100,16,2,2,20,0.8,0.1,0.1,Michael Brienza,0.8
50076,50076,100,37,7,7,51,0.7254901960784313,0.13725490196078433,0.13725490196078433,Michael Brienza,0.7254901960784313
50077,50077,100,33,4,5,42,0.7857142857142857,0.09523809523809523,0.11904761904761904,Michael Brienza,0.7857142857142857
50078,50078,100,39,6,0,45,0.8666666666666667,0.13333333333333333,0.0,Michael Brienza,0.8666666666666667
50079,50079,100,26,6,4,36,0.7222222222222222,0.16666666666666666,0.1111111111111111,Michael Brienza,0.7222222222222222
50080,50080,100,26,2,4,32,0.8125,0.0625,0.125,Michael Brienza,0.8125
50081,50081,100,1,0,1,2,0.5,0.0,0.5,Tie,0.5
50082,50082,100,11,0,5,16,0.6875,0.0,0.3125,Michael Brienza,0.6875
50083,50083,100,7,2,12,21,0.3333333333333333,0.09523809523809523,0.5714285714285714,Nick Rizzo,0.5714285714285714
50084,50084,100,4,0,3,7,0.5714285714285714,0.0,0.42857142857142855,Michael Brienza,0.5714285714285714
50085,50085,100,4,0,4,8,0.5,0.0,0.5,Tie,0.5
50086,50084,100,0,0,0,0,0,0,0,n/a,0
50087,50087,100,1,0,6,7,0.14285714285714285,0.0,0.8571428571428571,Nick Rizzo,0.8571428571428571
50088,50088,100,1,0,0,1,1.0,0.0,0.0,Michael Brienza,1.0
50089,50089,100,13,1,27,41,0.3170731707317073,0.024390243902439025,0.6585365853658537,Nick Rizzo,0.6585365853658537
50090,50090,100,6,0,7,13,0.46153846153846156,0.0,0.5384615384615384,Nick Rizzo,0.5384615384615384
50091,50091,100,13,0,29,42,0.30952380952380953,0.0,0.6904761904761905,Nick Rizzo,0.6904761904761905
50092,50092,100,15,0,25,40,0.375,0.0,0.625,Nick Rizzo,0.625
50093,50014,100,0,0,0,0,0,0,0,n/a,0
50094,50094,100,1,0,2,3,0.3333333333333333,0.0,0.6666666666666666,Nick Rizzo,0.6666666666666666
50095,50013,100,0,0,0,0,0,0,0,n/a,0
50096,50013,100,0,0,0,0,0,0,0,n/a,0
50097,50071,100,0,0,0,0,0,0,0,n/a,0
50098,50088,100,0,0,0,0,0,0,0,n/a,0
50099,50013,100,0,0,0,0,0,0,0,n/a,0
