ED,Reported As,Reporting,Ruth C. Halberg,Pauline Dana-Bashian,Scattered,Total Votes,p_Ruth C. Halberg,p_Pauline Dana-Bashian,p_Scattered,winner,winner_p
76017,76017,100,38,14,0,52,0.7307692307692307,0.2692307692307692,0.0,Ruth C. Halberg,0.7307692307692307
76018,76018,100,14,6,0,20,0.7,0.3,0.0,Ruth C. Halberg,0.7
76019,76019,100,27,11,0,38,0.7105263157894737,0.2894736842105263,0.0,Ruth C. Halberg,0.7105263157894737
76020,76020,100,24,18,0,42,0.5714285714285714,0.42857142857142855,0.0,Ruth C. Halberg,0.5714285714285714
76021,76021,100,46,8,0,54,0.8518518518518519,0.14814814814814814,0.0,Ruth C. Halberg,0.8518518518518519
76022,76022,100,22,7,0,29,0.7586206896551724,0.2413793103448276,0.0,Ruth C. Halberg,0.7586206896551724
76023,76023,100,15,9,0,24,0.625,0.375,0.0,Ruth C. Halberg,0.625
76024,76024,100,18,11,0,29,0.6206896551724138,0.3793103448275862,0.0,Ruth C. Halberg,0.6206896551724138
76025,76025,100,37,20,0,57,0.6491228070175439,0.3508771929824561,0.0,Ruth C. Halberg,0.6491228070175439
76026,76026,100,26,10,0,36,0.7222222222222222,0.2777777777777778,0.0,Ruth C. Halberg,0.7222222222222222
76027,76027,100,24,15,1,40,0.6,0.375,0.025,Ruth C. Halberg,0.6
76028,76028,100,32,13,0,45,0.7111111111111111,0.28888888888888886,0.0,Ruth C. Halberg,0.7111111111111111
76029,76029,100,22,9,0,31,0.7096774193548387,0.2903225806451613,0.0,Ruth C. Halberg,0.7096774193548387
76030,76030,100,13,9,0,22,0.5909090909090909,0.4090909090909091,0.0,Ruth C. Halberg,0.5909090909090909
76031,76031,100,31,6,0,37,0.8378378378378378,0.16216216216216217,0.0,Ruth C. Halberg,0.8378378378378378
76032,76032,100,39,19,0,58,0.6724137931034483,0.3275862068965517,0.0,Ruth C. Halberg,0.6724137931034483
76033,76033,100,27,17,0,44,0.6136363636363636,0.38636363636363635,0.0,Ruth C. Halberg,0.6136363636363636
76034,76034,100,38,21,0,59,0.6440677966101694,0.3559322033898305,0.0,Ruth C. Halberg,0.6440677966101694
76035,76035,100,62,20,0,82,0.7560975609756098,0.24390243902439024,0.0,Ruth C. Halberg,0.7560975609756098
76036,76036,100,21,8,0,29,0.7241379310344828,0.27586206896551724,0.0,Ruth C. Halberg,0.7241379310344828
76037,76037,100,19,15,0,34,0.5588235294117647,0.4411764705882353,0.0,Ruth C. Halberg,0.5588235294117647
76038,76038,100,26,10,0,36,0.7222222222222222,0.2777777777777778,0.0,Ruth C. Halberg,0.7222222222222222
76039,76039,100,25,15,0,40,0.625,0.375,0.0,Ruth C. Halberg,0.625
76040,76040,100,40,23,0,63,0.6349206349206349,0.36507936507936506,0.0,Ruth C. Halberg,0.6349206349206349
