ED,Reported As,Reporting,Yes,No,Total Votes,p_Yes,p_No,winner,winner_p
46024,46024,99.00,51,24,75,0.68,0.32,Yes,0.68
46025,46025,99.00,1,0,1,1.0,0.0,Yes,1.0
46026,46026,50.00,16,7,23,0.6956521739130435,0.30434782608695654,Yes,0.6956521739130435
46027,46027,99.00,53,40,93,0.5698924731182796,0.43010752688172044,Yes,0.5698924731182796
46028,46028,99.00,0,0,0,0,0,n/a,0
46029,46029,99.00,52,19,71,0.7323943661971831,0.2676056338028169,Yes,0.7323943661971831
46030,46030,99.00,90,38,128,0.703125,0.296875,Yes,0.703125
46031,46031,99.00,147,51,198,0.7424242424242424,0.25757575757575757,Yes,0.7424242424242424
46032,46032,99.00,8,0,8,1.0,0.0,Yes,1.0
46033,46033,99.00,97,27,124,0.782258064516129,0.21774193548387097,Yes,0.782258064516129
46034,46034,99.00,3,2,5,0.6,0.4,Yes,0.6
46035,46035,99.00,0,0,0,0,0,n/a,0
46036,46036,99.00,7,0,7,1.0,0.0,Yes,1.0
46037,46037,99.00,0,1,1,0.0,1.0,No,1.0
46038,46038,99.00,65,24,89,0.7303370786516854,0.2696629213483146,Yes,0.7303370786516854
46039,46039,99.00,2,0,2,1.0,0.0,Yes,1.0
46040,46040,99.00,25,8,33,0.7575757575757576,0.24242424242424243,Yes,0.7575757575757576
46041,46041,99.00,160,59,219,0.730593607305936,0.2694063926940639,Yes,0.730593607305936
46042,46042,99.00,102,110,212,0.4811320754716981,0.5188679245283019,No,0.5188679245283019
46043,46043,99.00,27,13,40,0.675,0.325,Yes,0.675
46044,46044,99.00,30,12,42,0.7142857142857143,0.2857142857142857,Yes,0.7142857142857143
46045,46045,99.00,45,9,54,0.8333333333333334,0.16666666666666666,Yes,0.8333333333333334
46046,46046,99.00,29,10,39,0.7435897435897436,0.2564102564102564,Yes,0.7435897435897436
46047,46047,99.00,86,60,146,0.589041095890411,0.410958904109589,Yes,0.589041095890411
46048,46048,99.00,73,43,116,0.6293103448275862,0.3706896551724138,Yes,0.6293103448275862
46049,46049,99.00,182,76,258,0.7054263565891473,0.29457364341085274,Yes,0.7054263565891473
46050,46050,99.00,131,50,181,0.7237569060773481,0.27624309392265195,Yes,0.7237569060773481
46051,46051,33.33,126,70,196,0.6428571428571429,0.35714285714285715,Yes,0.6428571428571429
46052,46052,99.00,6,1,7,0.8571428571428571,0.14285714285714285,Yes,0.8571428571428571
46053,46053,99.00,120,53,173,0.6936416184971098,0.3063583815028902,Yes,0.6936416184971098
46054,46054,99.00,118,29,147,0.8027210884353742,0.19727891156462585,Yes,0.8027210884353742
46055,46055,99.00,89,33,122,0.7295081967213115,0.27049180327868855,Yes,0.7295081967213115
46056,46056,99.00,115,32,147,0.782312925170068,0.21768707482993196,Yes,0.782312925170068
46057,46057,99.00,5,4,9,0.5555555555555556,0.4444444444444444,Yes,0.5555555555555556
46058,46058,99.00,121,55,176,0.6875,0.3125,Yes,0.6875
46059,46059,99.00,123,39,162,0.7592592592592593,0.24074074074074073,Yes,0.7592592592592593
46060,46060,99.00,226,115,341,0.6627565982404692,0.33724340175953077,Yes,0.6627565982404692
46061,46061,99.00,17,3,20,0.85,0.15,Yes,0.85
