ED,Reported As,Reporting,Toby Ann Stavisky (Independence),Toby Ann Stavisky (Working Families),Toby Ann Stavisky (Democratic),Scattered,Total Votes,Toby Ann Stavisky RECAP,Scattered RECAP,p_Toby Ann Stavisky (Independence),p_Toby Ann Stavisky (Working Families),p_Toby Ann Stavisky (Democratic),p_Scattered,p_Toby Ann Stavisky RECAP,p_Scattered RECAP,winner,winner_p
35027,35027,100,11,10,128,0,149,149,0,0.0738255033557047,0.06711409395973154,0.8590604026845637,0.0,1.0,0.0,Toby Ann Stavisky RECAP,1.0
35029,35029,100,0,0,2,0,2,2,0,0.0,0.0,1.0,0.0,1.0,0.0,Toby Ann Stavisky RECAP,1.0
35030,35030,100,3,4,36,1,44,43,1,0.06818181818181818,0.09090909090909091,0.8181818181818182,0.022727272727272728,0.9772727272727273,0.022727272727272728,Toby Ann Stavisky RECAP,0.9772727272727273
35034,35034,100,1,2,27,0,30,30,0,0.03333333333333333,0.06666666666666667,0.9,0.0,1.0,0.0,Toby Ann Stavisky RECAP,1.0
35031,35034,100,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
35033,35033,100,4,12,115,2,133,131,2,0.03007518796992481,0.09022556390977443,0.8646616541353384,0.015037593984962405,0.9849624060150376,0.015037593984962405,Toby Ann Stavisky RECAP,0.9849624060150376
35054,35054,100,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
35055,35055,100,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
35062,35055,100,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
39022,39022,100,0,2,31,0,33,33,0,0.0,0.06060606060606061,0.9393939393939394,0.0,1.0,0.0,Toby Ann Stavisky RECAP,1.0
39023,39023,100,2,0,81,0,83,83,0,0.024096385542168676,0.0,0.9759036144578314,0.0,1.0,0.0,Toby Ann Stavisky RECAP,1.0
39024,39024,100,1,4,41,2,48,46,2,0.020833333333333332,0.08333333333333333,0.8541666666666666,0.041666666666666664,0.9583333333333334,0.041666666666666664,Toby Ann Stavisky RECAP,0.9583333333333334
39027,39027,100,2,5,73,0,80,80,0,0.025,0.0625,0.9125,0.0,1.0,0.0,Toby Ann Stavisky RECAP,1.0
39029,39029,100,2,7,119,0,128,128,0,0.015625,0.0546875,0.9296875,0.0,1.0,0.0,Toby Ann Stavisky RECAP,1.0
39030,39030,100,2,3,103,0,108,108,0,0.018518518518518517,0.027777777777777776,0.9537037037037037,0.0,1.0,0.0,Toby Ann Stavisky RECAP,1.0
39031,39031,100,3,7,72,1,83,82,1,0.03614457831325301,0.08433734939759036,0.8674698795180723,0.012048192771084338,0.9879518072289156,0.012048192771084338,Toby Ann Stavisky RECAP,0.9879518072289156
39034,39034,100,2,14,114,0,130,130,0,0.015384615384615385,0.1076923076923077,0.8769230769230769,0.0,1.0,0.0,Toby Ann Stavisky RECAP,1.0
39035,39035,100,1,6,47,26,80,54,26,0.0125,0.075,0.5875,0.325,0.675,0.325,Toby Ann Stavisky RECAP,0.675
39037,39037,100,3,10,82,0,95,95,0,0.031578947368421054,0.10526315789473684,0.8631578947368421,0.0,1.0,0.0,Toby Ann Stavisky RECAP,1.0
39038,39038,100,1,13,82,0,96,96,0,0.010416666666666666,0.13541666666666666,0.8541666666666666,0.0,1.0,0.0,Toby Ann Stavisky RECAP,1.0
39039,39039,100,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
39040,39040,100,1,6,23,0,30,30,0,0.03333333333333333,0.2,0.7666666666666667,0.0,1.0,0.0,Toby Ann Stavisky RECAP,1.0
39042,39042,100,0,1,16,0,17,17,0,0.0,0.058823529411764705,0.9411764705882353,0.0,1.0,0.0,Toby Ann Stavisky RECAP,1.0
39048,39048,100,3,8,96,1,108,107,1,0.027777777777777776,0.07407407407407407,0.8888888888888888,0.009259259259259259,0.9907407407407407,0.009259259259259259,Toby Ann Stavisky RECAP,0.9907407407407407
39049,39049,100,3,14,140,1,158,157,1,0.0189873417721519,0.08860759493670886,0.8860759493670886,0.006329113924050633,0.9936708860759493,0.006329113924050633,Toby Ann Stavisky RECAP,0.9936708860759493
40003,40003,100,5,14,102,3,124,121,3,0.04032258064516129,0.11290322580645161,0.8225806451612904,0.024193548387096774,0.9758064516129032,0.024193548387096774,Toby Ann Stavisky RECAP,0.9758064516129032
40011,40011,100,0,3,23,0,26,26,0,0.0,0.11538461538461539,0.8846153846153846,0.0,1.0,0.0,Toby Ann Stavisky RECAP,1.0
40012,40012,100,0,4,20,2,26,24,2,0.0,0.15384615384615385,0.7692307692307693,0.07692307692307693,0.9230769230769231,0.07692307692307693,Toby Ann Stavisky RECAP,0.9230769230769231
40016,40016,100,2,10,163,0,175,175,0,0.011428571428571429,0.05714285714285714,0.9314285714285714,0.0,1.0,0.0,Toby Ann Stavisky RECAP,1.0
