ED,Reported As,Reporting,Robert M. Goodman (Conservative),Robert M. Goodman (Republican),Mark Gjonaj (Democratic),Scattered,Total Votes,Robert M. Goodman RECAP,Mark Gjonaj RECAP,Scattered RECAP,p_Robert M. Goodman (Conservative),p_Robert M. Goodman (Republican),p_Mark Gjonaj (Democratic),p_Scattered,p_Robert M. Goodman RECAP,p_Mark Gjonaj RECAP,p_Scattered RECAP,winner,winner_p
80069,80069,100,4,6,47,0,57,10,47,0,0.07017543859649122,0.10526315789473684,0.8245614035087719,0.0,0.17543859649122806,0.8245614035087719,0.0,Mark Gjonaj RECAP,0.8245614035087719
80070,80070,100,3,12,125,0,140,15,125,0,0.02142857142857143,0.08571428571428572,0.8928571428571429,0.0,0.10714285714285714,0.8928571428571429,0.0,Mark Gjonaj RECAP,0.8928571428571429
80071,80071,100,3,14,110,0,127,17,110,0,0.023622047244094488,0.11023622047244094,0.8661417322834646,0.0,0.13385826771653545,0.8661417322834646,0.0,Mark Gjonaj RECAP,0.8661417322834646
80073,80073,100,2,11,100,0,113,13,100,0,0.017699115044247787,0.09734513274336283,0.8849557522123894,0.0,0.11504424778761062,0.8849557522123894,0.0,Mark Gjonaj RECAP,0.8849557522123894
80072,80073,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
80074,80074,100,2,11,259,0,272,13,259,0,0.007352941176470588,0.04044117647058824,0.9522058823529411,0.0,0.04779411764705882,0.9522058823529411,0.0,Mark Gjonaj RECAP,0.9522058823529411
80075,80075,100,0,0,2,0,2,0,2,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,Mark Gjonaj RECAP,1.0
80076,80076,100,6,24,124,0,154,30,124,0,0.03896103896103896,0.15584415584415584,0.8051948051948052,0.0,0.19480519480519481,0.8051948051948052,0.0,Mark Gjonaj RECAP,0.8051948051948052
80077,80077,100,7,16,215,0,238,23,215,0,0.029411764705882353,0.06722689075630252,0.9033613445378151,0.0,0.09663865546218488,0.9033613445378151,0.0,Mark Gjonaj RECAP,0.9033613445378151
80078,80078,100,4,21,166,0,191,25,166,0,0.020942408376963352,0.1099476439790576,0.8691099476439791,0.0,0.13089005235602094,0.8691099476439791,0.0,Mark Gjonaj RECAP,0.8691099476439791
80079,80079,100,3,22,143,1,169,25,143,1,0.01775147928994083,0.1301775147928994,0.8461538461538461,0.005917159763313609,0.14792899408284024,0.8461538461538461,0.005917159763313609,Mark Gjonaj RECAP,0.8461538461538461
80080,80080,100,2,7,133,0,142,9,133,0,0.014084507042253521,0.04929577464788732,0.9366197183098591,0.0,0.06338028169014084,0.9366197183098591,0.0,Mark Gjonaj RECAP,0.9366197183098591
80081,80081,100,4,15,132,2,153,19,132,2,0.026143790849673203,0.09803921568627451,0.8627450980392157,0.013071895424836602,0.12418300653594772,0.8627450980392157,0.013071895424836602,Mark Gjonaj RECAP,0.8627450980392157
80082,80082,100,4,13,85,1,103,17,85,1,0.038834951456310676,0.1262135922330097,0.8252427184466019,0.009708737864077669,0.1650485436893204,0.8252427184466019,0.009708737864077669,Mark Gjonaj RECAP,0.8252427184466019
80083,80083,100,4,24,196,2,226,28,196,2,0.017699115044247787,0.10619469026548672,0.8672566371681416,0.008849557522123894,0.12389380530973451,0.8672566371681416,0.008849557522123894,Mark Gjonaj RECAP,0.8672566371681416
80084,80084,100,2,8,70,0,80,10,70,0,0.025,0.1,0.875,0.0,0.125,0.875,0.0,Mark Gjonaj RECAP,0.875
80085,80085,100,2,23,146,0,171,25,146,0,0.011695906432748537,0.13450292397660818,0.8538011695906432,0.0,0.14619883040935672,0.8538011695906432,0.0,Mark Gjonaj RECAP,0.8538011695906432
80086,80086,100,3,8,132,1,144,11,132,1,0.020833333333333332,0.05555555555555555,0.9166666666666666,0.006944444444444444,0.0763888888888889,0.9166666666666666,0.006944444444444444,Mark Gjonaj RECAP,0.9166666666666666
80087,80087,100,1,4,62,1,68,5,62,1,0.014705882352941176,0.058823529411764705,0.9117647058823529,0.014705882352941176,0.07352941176470588,0.9117647058823529,0.014705882352941176,Mark Gjonaj RECAP,0.9117647058823529
80088,80088,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
80089,80089,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
80090,80073,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
80091,80075,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
80092,80092,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
