ED,Reported As,Reporting,Anthony Aldorasi (StopCommonCore),Scattered,Michael N. Gianaris (Working Families),Michael N. Gianaris (Democratic),Total Votes,Anthony Aldorasi RECAP,Scattered RECAP,Michael N. Gianaris RECAP,p_Anthony Aldorasi (StopCommonCore),p_Scattered,p_Michael N. Gianaris (Working Families),p_Michael N. Gianaris (Democratic),p_Anthony Aldorasi RECAP,p_Scattered RECAP,p_Michael N. Gianaris RECAP,winner,winner_p
36002,36002,100,4,0,46,262,312,4,0,308,0.01282051282051282,0.0,0.14743589743589744,0.8397435897435898,0.01282051282051282,0.0,0.9871794871794872,Michael N. Gianaris RECAP,0.9871794871794872
36003,36003,100,4,0,27,136,167,4,0,163,0.023952095808383235,0.0,0.16167664670658682,0.8143712574850299,0.023952095808383235,0.0,0.9760479041916168,Michael N. Gianaris RECAP,0.9760479041916168
36004,36004,100,6,2,37,120,165,6,2,157,0.03636363636363636,0.012121212121212121,0.22424242424242424,0.7272727272727273,0.03636363636363636,0.012121212121212121,0.9515151515151515,Michael N. Gianaris RECAP,0.9515151515151515
36005,36005,100,9,1,33,165,208,9,1,198,0.04326923076923077,0.004807692307692308,0.15865384615384615,0.7932692307692307,0.04326923076923077,0.004807692307692308,0.9519230769230769,Michael N. Gianaris RECAP,0.9519230769230769
36006,36006,100,3,1,25,130,159,3,1,155,0.018867924528301886,0.006289308176100629,0.15723270440251572,0.8176100628930818,0.018867924528301886,0.006289308176100629,0.9748427672955975,Michael N. Gianaris RECAP,0.9748427672955975
36007,36007,100,8,3,22,146,179,8,3,168,0.0446927374301676,0.01675977653631285,0.12290502793296089,0.8156424581005587,0.0446927374301676,0.01675977653631285,0.9385474860335196,Michael N. Gianaris RECAP,0.9385474860335196
36008,36008,100,9,0,42,183,234,9,0,225,0.038461538461538464,0.0,0.1794871794871795,0.782051282051282,0.038461538461538464,0.0,0.9615384615384616,Michael N. Gianaris RECAP,0.9615384615384616
36009,36009,100,12,0,29,252,293,12,0,281,0.040955631399317405,0.0,0.09897610921501707,0.8600682593856656,0.040955631399317405,0.0,0.9590443686006825,Michael N. Gianaris RECAP,0.9590443686006825
36010,36010,100,12,0,32,180,224,12,0,212,0.05357142857142857,0.0,0.14285714285714285,0.8035714285714286,0.05357142857142857,0.0,0.9464285714285714,Michael N. Gianaris RECAP,0.9464285714285714
36011,36011,100,6,1,14,141,162,6,1,155,0.037037037037037035,0.006172839506172839,0.08641975308641975,0.8703703703703703,0.037037037037037035,0.006172839506172839,0.9567901234567902,Michael N. Gianaris RECAP,0.9567901234567902
36012,36012,100,6,0,34,219,259,6,0,253,0.023166023166023165,0.0,0.13127413127413126,0.8455598455598455,0.023166023166023165,0.0,0.9768339768339769,Michael N. Gianaris RECAP,0.9768339768339769
36013,36013,100,13,0,31,193,237,13,0,224,0.05485232067510549,0.0,0.1308016877637131,0.8143459915611815,0.05485232067510549,0.0,0.9451476793248945,Michael N. Gianaris RECAP,0.9451476793248945
36014,36014,100,14,0,17,164,195,14,0,181,0.07179487179487179,0.0,0.08717948717948718,0.841025641025641,0.07179487179487179,0.0,0.9282051282051282,Michael N. Gianaris RECAP,0.9282051282051282
