ED,Reported As,Reporting,Sheldon Silver (Democratic),Sheldon Silver (Working Families),Scattered,Maureen Koetz (Republican),Total Votes,Sheldon Silver RECAP,Scattered RECAP,Maureen Koetz RECAP,p_Sheldon Silver (Democratic),p_Sheldon Silver (Working Families),p_Scattered,p_Maureen Koetz (Republican),p_Sheldon Silver RECAP,p_Scattered RECAP,p_Maureen Koetz RECAP,winner,winner_p
65050,65050,100,163,19,0,22,204,182,0,22,0.7990196078431373,0.09313725490196079,0.0,0.10784313725490197,0.8921568627450981,0.0,0.10784313725490197,Sheldon Silver RECAP,0.8921568627450981
65051,65051,100,206,36,2,49,293,242,2,49,0.7030716723549488,0.12286689419795221,0.006825938566552901,0.16723549488054607,0.825938566552901,0.006825938566552901,0.16723549488054607,Sheldon Silver RECAP,0.825938566552901
65052,65052,100,161,45,3,29,238,206,3,29,0.6764705882352942,0.18907563025210083,0.012605042016806723,0.12184873949579832,0.865546218487395,0.012605042016806723,0.12184873949579832,Sheldon Silver RECAP,0.865546218487395
65053,65053,100,184,29,2,39,254,213,2,39,0.7244094488188977,0.1141732283464567,0.007874015748031496,0.15354330708661418,0.8385826771653543,0.007874015748031496,0.15354330708661418,Sheldon Silver RECAP,0.8385826771653543
65054,65054,100,176,33,1,41,251,209,1,41,0.701195219123506,0.13147410358565736,0.00398406374501992,0.16334661354581673,0.8326693227091634,0.00398406374501992,0.16334661354581673,Sheldon Silver RECAP,0.8326693227091634
65055,65055,100,180,27,1,36,244,207,1,36,0.7377049180327869,0.11065573770491803,0.004098360655737705,0.14754098360655737,0.8483606557377049,0.004098360655737705,0.14754098360655737,Sheldon Silver RECAP,0.8483606557377049
65056,65056,100,131,7,0,7,145,138,0,7,0.903448275862069,0.04827586206896552,0.0,0.04827586206896552,0.9517241379310345,0.0,0.04827586206896552,Sheldon Silver RECAP,0.9517241379310345
65057,65057,100,95,6,1,13,115,101,1,13,0.8260869565217391,0.05217391304347826,0.008695652173913044,0.11304347826086956,0.8782608695652174,0.008695652173913044,0.11304347826086956,Sheldon Silver RECAP,0.8782608695652174
65058,65058,100,66,8,1,12,87,74,1,12,0.7586206896551724,0.09195402298850575,0.011494252873563218,0.13793103448275862,0.8505747126436781,0.011494252873563218,0.13793103448275862,Sheldon Silver RECAP,0.8505747126436781
65059,65059,100,105,15,4,25,149,120,4,25,0.7046979865771812,0.10067114093959731,0.026845637583892617,0.16778523489932887,0.8053691275167785,0.026845637583892617,0.16778523489932887,Sheldon Silver RECAP,0.8053691275167785
65060,65060,100,78,13,1,14,106,91,1,14,0.7358490566037735,0.12264150943396226,0.009433962264150943,0.1320754716981132,0.8584905660377359,0.009433962264150943,0.1320754716981132,Sheldon Silver RECAP,0.8584905660377359
65061,65061,100,105,16,0,11,132,121,0,11,0.7954545454545454,0.12121212121212122,0.0,0.08333333333333333,0.9166666666666666,0.0,0.08333333333333333,Sheldon Silver RECAP,0.9166666666666666
65062,65062,100,70,18,0,4,92,88,0,4,0.7608695652173914,0.1956521739130435,0.0,0.043478260869565216,0.9565217391304348,0.0,0.043478260869565216,Sheldon Silver RECAP,0.9565217391304348
65063,65063,100,98,12,1,35,146,110,1,35,0.6712328767123288,0.0821917808219178,0.00684931506849315,0.23972602739726026,0.7534246575342466,0.00684931506849315,0.23972602739726026,Sheldon Silver RECAP,0.7534246575342466
65064,65064,100,62,13,0,27,102,75,0,27,0.6078431372549019,0.12745098039215685,0.0,0.2647058823529412,0.7352941176470589,0.0,0.2647058823529412,Sheldon Silver RECAP,0.7352941176470589
65065,65065,100,41,10,1,8,60,51,1,8,0.6833333333333333,0.16666666666666666,0.016666666666666666,0.13333333333333333,0.85,0.016666666666666666,0.13333333333333333,Sheldon Silver RECAP,0.85
65066,65066,100,43,10,1,21,75,53,1,21,0.5733333333333334,0.13333333333333333,0.013333333333333334,0.28,0.7066666666666667,0.013333333333333334,0.28,Sheldon Silver RECAP,0.7066666666666667
65067,65067,100,20,10,0,5,35,30,0,5,0.5714285714285714,0.2857142857142857,0.0,0.14285714285714285,0.8571428571428571,0.0,0.14285714285714285,Sheldon Silver RECAP,0.8571428571428571
65068,65068,100,101,23,0,34,158,124,0,34,0.6392405063291139,0.14556962025316456,0.0,0.21518987341772153,0.7848101265822784,0.0,0.21518987341772153,Sheldon Silver RECAP,0.7848101265822784
65069,65069,100,78,13,1,15,107,91,1,15,0.7289719626168224,0.12149532710280374,0.009345794392523364,0.14018691588785046,0.8504672897196262,0.009345794392523364,0.14018691588785046,Sheldon Silver RECAP,0.8504672897196262
65070,65070,100,12,6,0,2,20,18,0,2,0.6,0.3,0.0,0.1,0.9,0.0,0.1,Sheldon Silver RECAP,0.9
65071,65071,100,90,26,0,25,141,116,0,25,0.6382978723404256,0.18439716312056736,0.0,0.1773049645390071,0.8226950354609929,0.0,0.1773049645390071,Sheldon Silver RECAP,0.8226950354609929
65072,65072,100,99,14,2,15,130,113,2,15,0.7615384615384615,0.1076923076923077,0.015384615384615385,0.11538461538461539,0.8692307692307693,0.015384615384615385,0.11538461538461539,Sheldon Silver RECAP,0.8692307692307693
65073,65073,100,167,29,0,12,208,196,0,12,0.8028846153846154,0.13942307692307693,0.0,0.057692307692307696,0.9423076923076923,0.0,0.057692307692307696,Sheldon Silver RECAP,0.9423076923076923
65074,65074,100,142,32,2,16,192,174,2,16,0.7395833333333334,0.16666666666666666,0.010416666666666666,0.08333333333333333,0.90625,0.010416666666666666,0.08333333333333333,Sheldon Silver RECAP,0.90625
65075,65075,100,87,17,0,9,113,104,0,9,0.7699115044247787,0.1504424778761062,0.0,0.07964601769911504,0.9203539823008849,0.0,0.07964601769911504,Sheldon Silver RECAP,0.9203539823008849
65076,65076,100,101,22,4,19,146,123,4,19,0.6917808219178082,0.1506849315068493,0.0273972602739726,0.13013698630136986,0.8424657534246576,0.0273972602739726,0.13013698630136986,Sheldon Silver RECAP,0.8424657534246576
65077,65077,100,154,37,1,23,215,191,1,23,0.7162790697674418,0.17209302325581396,0.004651162790697674,0.10697674418604651,0.8883720930232558,0.004651162790697674,0.10697674418604651,Sheldon Silver RECAP,0.8883720930232558
65078,65078,100,77,35,0,13,125,112,0,13,0.616,0.28,0.0,0.104,0.896,0.0,0.104,Sheldon Silver RECAP,0.896
