ED,Reported As,Reporting,Adriano Espaillat (Democratic),Scattered,Total Votes,Adriano Espaillat RECAP,Scattered RECAP,p_Adriano Espaillat (Democratic),p_Scattered,p_Adriano Espaillat RECAP,p_Scattered RECAP,winner,winner_p
72005,72005,100,144,1,145,144,1,0.993103448275862,0.006896551724137931,0.993103448275862,0.006896551724137931,Adriano Espaillat RECAP,0.993103448275862
72006,72006,100,151,1,152,151,1,0.993421052631579,0.006578947368421052,0.993421052631579,0.006578947368421052,Adriano Espaillat RECAP,0.993421052631579
72007,72007,100,123,0,123,123,0,1.0,0.0,1.0,0.0,Adriano Espaillat RECAP,1.0
72008,72008,100,141,0,141,141,0,1.0,0.0,1.0,0.0,Adriano Espaillat RECAP,1.0
72009,72009,100,205,2,207,205,2,0.9903381642512077,0.00966183574879227,0.9903381642512077,0.00966183574879227,Adriano Espaillat RECAP,0.9903381642512077
72010,72010,100,152,0,152,152,0,1.0,0.0,1.0,0.0,Adriano Espaillat RECAP,1.0
72011,72011,100,139,0,139,139,0,1.0,0.0,1.0,0.0,Adriano Espaillat RECAP,1.0
72012,72012,100,191,0,191,191,0,1.0,0.0,1.0,0.0,Adriano Espaillat RECAP,1.0
72013,72013,100,118,1,119,118,1,0.9915966386554622,0.008403361344537815,0.9915966386554622,0.008403361344537815,Adriano Espaillat RECAP,0.9915966386554622
72014,72014,100,193,0,193,193,0,1.0,0.0,1.0,0.0,Adriano Espaillat RECAP,1.0
72015,72015,100,159,1,160,159,1,0.99375,0.00625,0.99375,0.00625,Adriano Espaillat RECAP,0.99375
72016,72016,100,182,0,182,182,0,1.0,0.0,1.0,0.0,Adriano Espaillat RECAP,1.0
72017,72017,100,169,1,170,169,1,0.9941176470588236,0.0058823529411764705,0.9941176470588236,0.0058823529411764705,Adriano Espaillat RECAP,0.9941176470588236
72018,72018,100,162,2,164,162,2,0.9878048780487805,0.012195121951219513,0.9878048780487805,0.012195121951219513,Adriano Espaillat RECAP,0.9878048780487805
72019,72019,100,162,1,163,162,1,0.9938650306748467,0.006134969325153374,0.9938650306748467,0.006134969325153374,Adriano Espaillat RECAP,0.9938650306748467
72020,72020,100,178,0,178,178,0,1.0,0.0,1.0,0.0,Adriano Espaillat RECAP,1.0
72021,72021,100,167,2,169,167,2,0.9881656804733728,0.011834319526627219,0.9881656804733728,0.011834319526627219,Adriano Espaillat RECAP,0.9881656804733728
72022,72022,100,159,2,161,159,2,0.9875776397515528,0.012422360248447204,0.9875776397515528,0.012422360248447204,Adriano Espaillat RECAP,0.9875776397515528
72023,72023,100,90,0,90,90,0,1.0,0.0,1.0,0.0,Adriano Espaillat RECAP,1.0
72024,72024,100,163,0,163,163,0,1.0,0.0,1.0,0.0,Adriano Espaillat RECAP,1.0
72025,72025,100,135,0,135,135,0,1.0,0.0,1.0,0.0,Adriano Espaillat RECAP,1.0
72026,72026,100,119,7,126,119,7,0.9444444444444444,0.05555555555555555,0.9444444444444444,0.05555555555555555,Adriano Espaillat RECAP,0.9444444444444444
72027,72027,100,92,0,92,92,0,1.0,0.0,1.0,0.0,Adriano Espaillat RECAP,1.0
72028,72028,100,173,2,175,173,2,0.9885714285714285,0.011428571428571429,0.9885714285714285,0.011428571428571429,Adriano Espaillat RECAP,0.9885714285714285
72029,72029,100,162,1,163,162,1,0.9938650306748467,0.006134969325153374,0.9938650306748467,0.006134969325153374,Adriano Espaillat RECAP,0.9938650306748467
72030,72030,100,165,0,165,165,0,1.0,0.0,1.0,0.0,Adriano Espaillat RECAP,1.0
72031,72031,100,198,0,198,198,0,1.0,0.0,1.0,0.0,Adriano Espaillat RECAP,1.0
72032,72032,100,179,0,179,179,0,1.0,0.0,1.0,0.0,Adriano Espaillat RECAP,1.0
72033,72033,100,126,1,127,126,1,0.9921259842519685,0.007874015748031496,0.9921259842519685,0.007874015748031496,Adriano Espaillat RECAP,0.9921259842519685
72034,72034,100,150,1,151,150,1,0.9933774834437086,0.006622516556291391,0.9933774834437086,0.006622516556291391,Adriano Espaillat RECAP,0.9933774834437086
72035,72035,100,154,0,154,154,0,1.0,0.0,1.0,0.0,Adriano Espaillat RECAP,1.0
72036,72036,100,160,4,164,160,4,0.975609756097561,0.024390243902439025,0.975609756097561,0.024390243902439025,Adriano Espaillat RECAP,0.975609756097561
72037,72037,100,87,3,90,87,3,0.9666666666666667,0.03333333333333333,0.9666666666666667,0.03333333333333333,Adriano Espaillat RECAP,0.9666666666666667
72038,72038,100,155,4,159,155,4,0.9748427672955975,0.025157232704402517,0.9748427672955975,0.025157232704402517,Adriano Espaillat RECAP,0.9748427672955975
72039,72039,100,234,4,238,234,4,0.9831932773109243,0.01680672268907563,0.9831932773109243,0.01680672268907563,Adriano Espaillat RECAP,0.9831932773109243
72040,72040,100,107,1,108,107,1,0.9907407407407407,0.009259259259259259,0.9907407407407407,0.009259259259259259,Adriano Espaillat RECAP,0.9907407407407407
72041,72041,100,276,1,277,276,1,0.9963898916967509,0.0036101083032490976,0.9963898916967509,0.0036101083032490976,Adriano Espaillat RECAP,0.9963898916967509
72042,72042,100,232,2,234,232,2,0.9914529914529915,0.008547008547008548,0.9914529914529915,0.008547008547008548,Adriano Espaillat RECAP,0.9914529914529915
72043,72043,100,186,2,188,186,2,0.9893617021276596,0.010638297872340425,0.9893617021276596,0.010638297872340425,Adriano Espaillat RECAP,0.9893617021276596
72044,72044,100,154,0,154,154,0,1.0,0.0,1.0,0.0,Adriano Espaillat RECAP,1.0
72045,72045,100,120,0,120,120,0,1.0,0.0,1.0,0.0,Adriano Espaillat RECAP,1.0
