ED,Reported As,Reporting,Jeffrey Dinowitz (Democratic),Alan H. Reed (Conservative),Scattered,Jeffrey Dinowitz (Working Families),Total Votes,Jeffrey Dinowitz RECAP,Alan H. Reed RECAP,Scattered RECAP,p_Jeffrey Dinowitz (Democratic),p_Alan H. Reed (Conservative),p_Scattered,p_Jeffrey Dinowitz (Working Families),p_Jeffrey Dinowitz RECAP,p_Alan H. Reed RECAP,p_Scattered RECAP,winner,winner_p
81083,81083,100,190,9,0,30,229,220,9,0,0.8296943231441049,0.039301310043668124,0.0,0.13100436681222707,0.9606986899563319,0.039301310043668124,0.0,Jeffrey Dinowitz RECAP,0.9606986899563319
81084,81084,100,246,19,2,46,313,292,19,2,0.7859424920127795,0.06070287539936102,0.006389776357827476,0.14696485623003194,0.9329073482428115,0.06070287539936102,0.006389776357827476,Jeffrey Dinowitz RECAP,0.9329073482428115
81085,81085,100,125,17,1,12,155,137,17,1,0.8064516129032258,0.10967741935483871,0.0064516129032258064,0.07741935483870968,0.8838709677419355,0.10967741935483871,0.0064516129032258064,Jeffrey Dinowitz RECAP,0.8838709677419355
81086,81086,100,189,26,2,25,242,214,26,2,0.78099173553719,0.10743801652892562,0.008264462809917356,0.10330578512396695,0.8842975206611571,0.10743801652892562,0.008264462809917356,Jeffrey Dinowitz RECAP,0.8842975206611571
81087,81087,100,153,14,0,17,184,170,14,0,0.8315217391304348,0.07608695652173914,0.0,0.09239130434782608,0.9239130434782609,0.07608695652173914,0.0,Jeffrey Dinowitz RECAP,0.9239130434782609
81088,81088,100,155,42,0,20,217,175,42,0,0.7142857142857143,0.1935483870967742,0.0,0.09216589861751152,0.8064516129032258,0.1935483870967742,0.0,Jeffrey Dinowitz RECAP,0.8064516129032258
81089,81089,100,188,15,0,25,228,213,15,0,0.8245614035087719,0.06578947368421052,0.0,0.10964912280701754,0.9342105263157895,0.06578947368421052,0.0,Jeffrey Dinowitz RECAP,0.9342105263157895
81090,81090,100,176,15,1,17,209,193,15,1,0.8421052631578947,0.07177033492822966,0.004784688995215311,0.08133971291866028,0.9234449760765551,0.07177033492822966,0.004784688995215311,Jeffrey Dinowitz RECAP,0.9234449760765551
81091,81091,100,150,1,0,5,156,155,1,0,0.9615384615384616,0.00641025641025641,0.0,0.03205128205128205,0.9935897435897436,0.00641025641025641,0.0,Jeffrey Dinowitz RECAP,0.9935897435897436
81092,81092,100,71,1,1,4,77,75,1,1,0.922077922077922,0.012987012987012988,0.012987012987012988,0.05194805194805195,0.974025974025974,0.012987012987012988,0.012987012987012988,Jeffrey Dinowitz RECAP,0.974025974025974
81093,81093,100,130,4,0,4,138,134,4,0,0.9420289855072463,0.028985507246376812,0.0,0.028985507246376812,0.9710144927536232,0.028985507246376812,0.0,Jeffrey Dinowitz RECAP,0.9710144927536232
81094,81094,100,127,13,0,5,145,132,13,0,0.8758620689655172,0.0896551724137931,0.0,0.034482758620689655,0.9103448275862069,0.0896551724137931,0.0,Jeffrey Dinowitz RECAP,0.9103448275862069
