ED,Reported As,Reporting,Mike Yusupov (Conservative),James F. Brennan (Working Families),Mike Yusupov (Republican),Scattered,James F. Brennan (Democratic),Total Votes,Mike Yusupov RECAP,James F. Brennan RECAP,Scattered RECAP,p_Mike Yusupov (Conservative),p_James F. Brennan (Working Families),p_Mike Yusupov (Republican),p_Scattered,p_James F. Brennan (Democratic),p_Mike Yusupov RECAP,p_James F. Brennan RECAP,p_Scattered RECAP,winner,winner_p
44044,44044,100,9,19,21,0,61,110,30,80,0,0.08181818181818182,0.17272727272727273,0.19090909090909092,0.0,0.5545454545454546,0.2727272727272727,0.7272727272727273,0.0,James F. Brennan RECAP,0.7272727272727273
44045,44045,100,3,36,19,0,85,143,22,121,0,0.02097902097902098,0.2517482517482518,0.13286713286713286,0.0,0.5944055944055944,0.15384615384615385,0.8461538461538461,0.0,James F. Brennan RECAP,0.8461538461538461
44046,44046,100,1,26,2,0,76,105,3,102,0,0.009523809523809525,0.24761904761904763,0.01904761904761905,0.0,0.7238095238095238,0.02857142857142857,0.9714285714285714,0.0,James F. Brennan RECAP,0.9714285714285714
44047,44047,100,1,5,4,0,24,34,5,29,0,0.029411764705882353,0.14705882352941177,0.11764705882352941,0.0,0.7058823529411765,0.14705882352941177,0.8529411764705882,0.0,James F. Brennan RECAP,0.8529411764705882
44048,44048,100,4,36,8,0,126,174,12,162,0,0.022988505747126436,0.20689655172413793,0.04597701149425287,0.0,0.7241379310344828,0.06896551724137931,0.9310344827586207,0.0,James F. Brennan RECAP,0.9310344827586207
44049,44049,100,9,79,20,0,227,335,29,306,0,0.026865671641791045,0.23582089552238805,0.05970149253731343,0.0,0.6776119402985075,0.08656716417910448,0.9134328358208955,0.0,James F. Brennan RECAP,0.9134328358208955
44050,44050,100,4,92,12,0,174,282,16,266,0,0.014184397163120567,0.3262411347517731,0.0425531914893617,0.0,0.6170212765957447,0.05673758865248227,0.9432624113475178,0.0,James F. Brennan RECAP,0.9432624113475178
44051,44051,100,9,86,21,0,170,286,30,256,0,0.03146853146853147,0.3006993006993007,0.07342657342657342,0.0,0.5944055944055944,0.1048951048951049,0.8951048951048951,0.0,James F. Brennan RECAP,0.8951048951048951
44052,44052,100,17,119,13,1,226,376,30,345,1,0.04521276595744681,0.31648936170212766,0.034574468085106384,0.0026595744680851063,0.601063829787234,0.0797872340425532,0.9175531914893617,0.0026595744680851063,James F. Brennan RECAP,0.9175531914893617
44053,44053,100,20,100,20,1,176,317,40,276,1,0.06309148264984227,0.31545741324921134,0.06309148264984227,0.0031545741324921135,0.555205047318612,0.12618296529968454,0.8706624605678234,0.0031545741324921135,James F. Brennan RECAP,0.8706624605678234
44054,44054,100,15,160,19,0,234,428,34,394,0,0.035046728971962614,0.37383177570093457,0.04439252336448598,0.0,0.5467289719626168,0.0794392523364486,0.9205607476635514,0.0,James F. Brennan RECAP,0.9205607476635514
44055,44055,100,16,140,40,0,222,418,56,362,0,0.03827751196172249,0.3349282296650718,0.09569377990430622,0.0,0.5311004784688995,0.1339712918660287,0.8660287081339713,0.0,James F. Brennan RECAP,0.8660287081339713
