ED,Reported As,Reporting,Hakeem S. Jeffries (Working Families),Alan Bellone (Conservative),Hakeem S. Jeffries (Democratic),Scattered,Total Votes,Hakeem S. Jeffries RECAP,Alan Bellone RECAP,Scattered RECAP,p_Hakeem S. Jeffries (Working Families),p_Alan Bellone (Conservative),p_Hakeem S. Jeffries (Democratic),p_Scattered,p_Hakeem S. Jeffries RECAP,p_Alan Bellone RECAP,p_Scattered RECAP,winner,winner_p
60033,60033,100,4,3,178,0,185,182,3,0,0.021621621621621623,0.016216216216216217,0.9621621621621622,0.0,0.9837837837837838,0.016216216216216217,0.0,Hakeem S. Jeffries RECAP,0.9837837837837838
60034,60034,100,6,4,211,1,222,217,4,1,0.02702702702702703,0.018018018018018018,0.9504504504504504,0.0045045045045045045,0.9774774774774775,0.018018018018018018,0.0045045045045045045,Hakeem S. Jeffries RECAP,0.9774774774774775
60035,60035,100,9,4,204,0,217,213,4,0,0.041474654377880185,0.018433179723502304,0.9400921658986175,0.0,0.9815668202764977,0.018433179723502304,0.0,Hakeem S. Jeffries RECAP,0.9815668202764977
60036,60036,100,11,2,217,1,231,228,2,1,0.047619047619047616,0.008658008658008658,0.9393939393939394,0.004329004329004329,0.987012987012987,0.008658008658008658,0.004329004329004329,Hakeem S. Jeffries RECAP,0.987012987012987
60037,60037,100,8,3,218,0,229,226,3,0,0.034934497816593885,0.013100436681222707,0.9519650655021834,0.0,0.9868995633187773,0.013100436681222707,0.0,Hakeem S. Jeffries RECAP,0.9868995633187773
60038,60038,100,5,1,118,0,124,123,1,0,0.04032258064516129,0.008064516129032258,0.9516129032258065,0.0,0.9919354838709677,0.008064516129032258,0.0,Hakeem S. Jeffries RECAP,0.9919354838709677
60039,60039,100,6,0,136,0,142,142,0,0,0.04225352112676056,0.0,0.9577464788732394,0.0,1.0,0.0,0.0,Hakeem S. Jeffries RECAP,1.0
60040,60040,100,4,3,154,0,161,158,3,0,0.024844720496894408,0.018633540372670808,0.9565217391304348,0.0,0.9813664596273292,0.018633540372670808,0.0,Hakeem S. Jeffries RECAP,0.9813664596273292
60041,60041,100,12,0,219,0,231,231,0,0,0.05194805194805195,0.0,0.948051948051948,0.0,1.0,0.0,0.0,Hakeem S. Jeffries RECAP,1.0
60042,60042,100,15,0,196,0,211,211,0,0,0.07109004739336493,0.0,0.9289099526066351,0.0,1.0,0.0,0.0,Hakeem S. Jeffries RECAP,1.0
60043,60043,100,9,2,181,0,192,190,2,0,0.046875,0.010416666666666666,0.9427083333333334,0.0,0.9895833333333334,0.010416666666666666,0.0,Hakeem S. Jeffries RECAP,0.9895833333333334
60044,60044,100,2,1,117,0,120,119,1,0,0.016666666666666666,0.008333333333333333,0.975,0.0,0.9916666666666667,0.008333333333333333,0.0,Hakeem S. Jeffries RECAP,0.9916666666666667
60048,60048,100,4,0,71,0,75,75,0,0,0.05333333333333334,0.0,0.9466666666666667,0.0,1.0,0.0,0.0,Hakeem S. Jeffries RECAP,1.0
60049,60049,100,5,0,146,0,151,151,0,0,0.033112582781456956,0.0,0.9668874172185431,0.0,1.0,0.0,0.0,Hakeem S. Jeffries RECAP,1.0
60050,60050,100,1,2,63,0,66,64,2,0,0.015151515151515152,0.030303030303030304,0.9545454545454546,0.0,0.9696969696969697,0.030303030303030304,0.0,Hakeem S. Jeffries RECAP,0.9696969696969697
60051,60051,100,15,0,216,0,231,231,0,0,0.06493506493506493,0.0,0.935064935064935,0.0,1.0,0.0,0.0,Hakeem S. Jeffries RECAP,1.0
60052,60052,100,4,2,105,0,111,109,2,0,0.036036036036036036,0.018018018018018018,0.9459459459459459,0.0,0.9819819819819819,0.018018018018018018,0.0,Hakeem S. Jeffries RECAP,0.9819819819819819
60053,60053,100,14,2,151,1,168,165,2,1,0.08333333333333333,0.011904761904761904,0.8988095238095238,0.005952380952380952,0.9821428571428571,0.011904761904761904,0.005952380952380952,Hakeem S. Jeffries RECAP,0.9821428571428571
60054,60054,100,7,0,178,2,187,185,0,2,0.0374331550802139,0.0,0.9518716577540107,0.0106951871657754,0.9893048128342246,0.0,0.0106951871657754,Hakeem S. Jeffries RECAP,0.9893048128342246
60055,60055,100,6,1,122,0,129,128,1,0,0.046511627906976744,0.007751937984496124,0.9457364341085271,0.0,0.9922480620155039,0.007751937984496124,0.0,Hakeem S. Jeffries RECAP,0.9922480620155039
60056,60056,100,5,3,171,0,179,176,3,0,0.027932960893854747,0.01675977653631285,0.9553072625698324,0.0,0.9832402234636871,0.01675977653631285,0.0,Hakeem S. Jeffries RECAP,0.9832402234636871
