ED,Reported As,Reporting,Alec Brook-Krasny (Independence),Stamatis Lilikakis (Conservative),Stamatis Lilikakis (Republican),Scattered,Alec Brook-Krasny (Democratic),Alec Brook-Krasny (Working Families),Total Votes,Alec Brook-Krasny RECAP,Stamatis Lilikakis RECAP,Scattered RECAP,p_Alec Brook-Krasny (Independence),p_Stamatis Lilikakis (Conservative),p_Stamatis Lilikakis (Republican),p_Scattered,p_Alec Brook-Krasny (Democratic),p_Alec Brook-Krasny (Working Families),p_Alec Brook-Krasny RECAP,p_Stamatis Lilikakis RECAP,p_Scattered RECAP,winner,winner_p
46036,46036,100,7,33,103,0,91,7,241,105,136,0,0.029045643153526972,0.13692946058091288,0.42738589211618255,0.0,0.3775933609958506,0.029045643153526972,0.43568464730290457,0.5643153526970954,0.0,Stamatis Lilikakis RECAP,0.5643153526970954
46037,46037,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
46038,46038,100,8,14,75,1,113,4,215,125,89,1,0.037209302325581395,0.06511627906976744,0.3488372093023256,0.004651162790697674,0.5255813953488372,0.018604651162790697,0.5813953488372093,0.413953488372093,0.004651162790697674,Alec Brook-Krasny RECAP,0.5813953488372093
46039,46039,100,9,6,60,0,112,4,191,125,66,0,0.04712041884816754,0.031413612565445025,0.31413612565445026,0.0,0.5863874345549738,0.020942408376963352,0.6544502617801047,0.34554973821989526,0.0,Alec Brook-Krasny RECAP,0.6544502617801047
46040,46040,100,0,5,16,0,23,5,49,28,21,0,0.0,0.10204081632653061,0.32653061224489793,0.0,0.46938775510204084,0.10204081632653061,0.5714285714285714,0.42857142857142855,0.0,Alec Brook-Krasny RECAP,0.5714285714285714
46041,46041,100,7,37,126,0,169,20,359,196,163,0,0.019498607242339833,0.10306406685236769,0.35097493036211697,0.0,0.47075208913649025,0.055710306406685235,0.5459610027855153,0.45403899721448465,0.0,Alec Brook-Krasny RECAP,0.5459610027855153
46042,46042,100,0,13,53,0,37,1,104,38,66,0,0.0,0.125,0.5096153846153846,0.0,0.3557692307692308,0.009615384615384616,0.36538461538461536,0.6346153846153846,0.0,Stamatis Lilikakis RECAP,0.6346153846153846
46043,46043,100,5,11,61,0,93,10,180,108,72,0,0.027777777777777776,0.06111111111111111,0.3388888888888889,0.0,0.5166666666666667,0.05555555555555555,0.6,0.4,0.0,Alec Brook-Krasny RECAP,0.6
46044,46044,100,4,11,78,0,87,10,190,101,89,0,0.021052631578947368,0.05789473684210526,0.4105263157894737,0.0,0.45789473684210524,0.05263157894736842,0.531578947368421,0.46842105263157896,0.0,Alec Brook-Krasny RECAP,0.531578947368421
46045,46045,100,3,3,39,22,88,6,161,97,42,22,0.018633540372670808,0.018633540372670808,0.2422360248447205,0.13664596273291926,0.546583850931677,0.037267080745341616,0.6024844720496895,0.2608695652173913,0.13664596273291926,Alec Brook-Krasny RECAP,0.6024844720496895
46046,46046,100,5,7,44,28,62,6,152,73,51,28,0.03289473684210526,0.046052631578947366,0.2894736842105263,0.18421052631578946,0.40789473684210525,0.039473684210526314,0.48026315789473684,0.3355263157894737,0.18421052631578946,Alec Brook-Krasny RECAP,0.48026315789473684
46047,46047,100,8,24,87,0,80,10,209,98,111,0,0.03827751196172249,0.11483253588516747,0.41626794258373206,0.0,0.3827751196172249,0.04784688995215311,0.4688995215311005,0.5311004784688995,0.0,Stamatis Lilikakis RECAP,0.5311004784688995
46048,46048,100,6,35,74,0,96,15,226,117,109,0,0.02654867256637168,0.15486725663716813,0.3274336283185841,0.0,0.4247787610619469,0.06637168141592921,0.5176991150442478,0.4823008849557522,0.0,Alec Brook-Krasny RECAP,0.5176991150442478
46049,46049,100,11,29,104,2,135,32,313,178,133,2,0.03514376996805112,0.0926517571884984,0.33226837060702874,0.006389776357827476,0.43130990415335463,0.10223642172523961,0.5686900958466453,0.4249201277955272,0.006389776357827476,Alec Brook-Krasny RECAP,0.5686900958466453
46050,46050,100,7,65,155,0,104,17,348,128,220,0,0.020114942528735632,0.1867816091954023,0.4454022988505747,0.0,0.2988505747126437,0.04885057471264368,0.367816091954023,0.632183908045977,0.0,Stamatis Lilikakis RECAP,0.632183908045977
46051,46051,100,11,37,149,1,104,20,322,135,186,1,0.034161490683229816,0.11490683229813664,0.46273291925465837,0.003105590062111801,0.32298136645962733,0.062111801242236024,0.4192546583850932,0.577639751552795,0.003105590062111801,Stamatis Lilikakis RECAP,0.577639751552795
46052,46052,100,18,25,166,0,174,13,396,205,191,0,0.045454545454545456,0.06313131313131314,0.41919191919191917,0.0,0.4393939393939394,0.03282828282828283,0.5176767676767676,0.4823232323232323,0.0,Alec Brook-Krasny RECAP,0.5176767676767676
46053,46053,100,7,34,123,1,125,24,314,156,157,1,0.022292993630573247,0.10828025477707007,0.39171974522292996,0.0031847133757961785,0.3980891719745223,0.07643312101910828,0.4968152866242038,0.5,0.0031847133757961785,Stamatis Lilikakis RECAP,0.5
46054,46054,100,7,16,50,0,84,16,173,107,66,0,0.04046242774566474,0.09248554913294797,0.28901734104046245,0.0,0.48554913294797686,0.09248554913294797,0.6184971098265896,0.3815028901734104,0.0,Alec Brook-Krasny RECAP,0.6184971098265896
46055,46055,100,5,17,70,0,145,12,249,162,87,0,0.020080321285140562,0.06827309236947791,0.28112449799196787,0.0,0.5823293172690763,0.04819277108433735,0.6506024096385542,0.3493975903614458,0.0,Alec Brook-Krasny RECAP,0.6506024096385542
46056,46056,100,10,23,102,0,131,31,297,172,125,0,0.03367003367003367,0.07744107744107744,0.3434343434343434,0.0,0.44107744107744107,0.10437710437710437,0.5791245791245792,0.4208754208754209,0.0,Alec Brook-Krasny RECAP,0.5791245791245792
46057,46057,100,11,32,163,2,147,27,382,185,195,2,0.028795811518324606,0.08376963350785341,0.42670157068062825,0.005235602094240838,0.38481675392670156,0.07068062827225131,0.48429319371727747,0.5104712041884817,0.005235602094240838,Stamatis Lilikakis RECAP,0.5104712041884817
46058,46058,100,9,20,85,0,122,18,254,149,105,0,0.03543307086614173,0.07874015748031496,0.3346456692913386,0.0,0.48031496062992124,0.07086614173228346,0.5866141732283464,0.41338582677165353,0.0,Alec Brook-Krasny RECAP,0.5866141732283464
46059,46059,100,6,28,75,1,128,15,253,149,103,1,0.023715415019762844,0.11067193675889328,0.2964426877470356,0.003952569169960474,0.5059288537549407,0.05928853754940711,0.5889328063241107,0.40711462450592883,0.003952569169960474,Alec Brook-Krasny RECAP,0.5889328063241107
46060,46060,100,10,45,153,0,178,26,412,214,198,0,0.024271844660194174,0.10922330097087378,0.3713592233009709,0.0,0.4320388349514563,0.06310679611650485,0.5194174757281553,0.48058252427184467,0.0,Alec Brook-Krasny RECAP,0.5194174757281553
46061,46061,100,6,27,113,0,106,26,278,138,140,0,0.02158273381294964,0.09712230215827339,0.4064748201438849,0.0,0.381294964028777,0.09352517985611511,0.49640287769784175,0.5035971223021583,0.0,Stamatis Lilikakis RECAP,0.5035971223021583
46062,46062,100,6,39,138,2,205,22,412,233,177,2,0.014563106796116505,0.09466019417475728,0.33495145631067963,0.0048543689320388345,0.4975728155339806,0.05339805825242718,0.5655339805825242,0.42961165048543687,0.0048543689320388345,Alec Brook-Krasny RECAP,0.5655339805825242
46063,46063,100,6,16,62,0,117,21,222,144,78,0,0.02702702702702703,0.07207207207207207,0.27927927927927926,0.0,0.527027027027027,0.0945945945945946,0.6486486486486487,0.35135135135135137,0.0,Alec Brook-Krasny RECAP,0.6486486486486487
46064,46064,100,7,46,116,0,146,21,336,174,162,0,0.020833333333333332,0.13690476190476192,0.34523809523809523,0.0,0.43452380952380953,0.0625,0.5178571428571429,0.48214285714285715,0.0,Alec Brook-Krasny RECAP,0.5178571428571429
46065,46065,100,11,46,125,0,143,16,341,170,171,0,0.03225806451612903,0.1348973607038123,0.36656891495601174,0.0,0.41935483870967744,0.0469208211143695,0.49853372434017595,0.501466275659824,0.0,Stamatis Lilikakis RECAP,0.501466275659824
46066,46066,100,2,13,66,0,64,8,153,74,79,0,0.013071895424836602,0.08496732026143791,0.43137254901960786,0.0,0.41830065359477125,0.05228758169934641,0.48366013071895425,0.5163398692810458,0.0,Stamatis Lilikakis RECAP,0.5163398692810458
46067,46067,100,7,59,145,0,92,16,319,115,204,0,0.0219435736677116,0.18495297805642633,0.45454545454545453,0.0,0.2884012539184953,0.050156739811912224,0.3605015673981191,0.6394984326018809,0.0,Stamatis Lilikakis RECAP,0.6394984326018809
46068,46068,100,8,46,146,0,94,9,303,111,192,0,0.026402640264026403,0.15181518151815182,0.48184818481848185,0.0,0.3102310231023102,0.0297029702970297,0.36633663366336633,0.6336633663366337,0.0,Stamatis Lilikakis RECAP,0.6336633663366337
46069,46069,100,5,49,164,0,123,14,355,142,213,0,0.014084507042253521,0.13802816901408452,0.4619718309859155,0.0,0.3464788732394366,0.03943661971830986,0.4,0.6,0.0,Stamatis Lilikakis RECAP,0.6
46070,46070,100,4,48,130,2,56,9,249,69,178,2,0.01606425702811245,0.1927710843373494,0.5220883534136547,0.008032128514056224,0.2248995983935743,0.03614457831325301,0.27710843373493976,0.714859437751004,0.008032128514056224,Stamatis Lilikakis RECAP,0.714859437751004
46071,46071,100,5,29,159,0,80,9,282,94,188,0,0.01773049645390071,0.10283687943262411,0.5638297872340425,0.0,0.28368794326241137,0.031914893617021274,0.3333333333333333,0.6666666666666666,0.0,Stamatis Lilikakis RECAP,0.6666666666666666
46072,46072,100,6,39,108,0,96,13,262,115,147,0,0.022900763358778626,0.14885496183206107,0.4122137404580153,0.0,0.366412213740458,0.04961832061068702,0.4389312977099237,0.5610687022900763,0.0,Stamatis Lilikakis RECAP,0.5610687022900763
46073,46073,100,1,5,21,0,65,9,101,75,26,0,0.009900990099009901,0.04950495049504951,0.2079207920792079,0.0,0.6435643564356436,0.0891089108910891,0.7425742574257426,0.25742574257425743,0.0,Alec Brook-Krasny RECAP,0.7425742574257426
46074,46074,100,2,1,8,0,10,1,22,13,9,0,0.09090909090909091,0.045454545454545456,0.36363636363636365,0.0,0.45454545454545453,0.045454545454545456,0.5909090909090909,0.4090909090909091,0.0,Alec Brook-Krasny RECAP,0.5909090909090909
46075,46075,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
46076,46075,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
46077,46077,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
