ED,Reported As,Reporting,Andrew J. Lanza (Conservative),Andrew J. Lanza (Republican),Gary W. Carsel (Democratic),Andrew J. Lanza (Independence),Scattered,Gary W. Carsel (Working Families),Total Votes,Andrew J. Lanza RECAP,Gary W. Carsel RECAP,Scattered RECAP,p_Andrew J. Lanza (Conservative),p_Andrew J. Lanza (Republican),p_Gary W. Carsel (Democratic),p_Andrew J. Lanza (Independence),p_Scattered,p_Gary W. Carsel (Working Families),p_Andrew J. Lanza RECAP,p_Gary W. Carsel RECAP,p_Scattered RECAP,winner,winner_p
62035,62035,100,41,267,29,9,3,2,351,317,31,3,0.1168091168091168,0.7606837606837606,0.08262108262108261,0.02564102564102564,0.008547008547008548,0.005698005698005698,0.9031339031339032,0.08831908831908832,0.008547008547008548,Andrew J. Lanza RECAP,0.9031339031339032
62036,62036,100,35,315,54,9,0,3,416,359,57,0,0.08413461538461539,0.7572115384615384,0.12980769230769232,0.021634615384615384,0.0,0.007211538461538462,0.8629807692307693,0.13701923076923078,0.0,Andrew J. Lanza RECAP,0.8629807692307693
62037,62037,100,49,299,36,5,0,1,390,353,37,0,0.12564102564102564,0.7666666666666667,0.09230769230769231,0.01282051282051282,0.0,0.002564102564102564,0.9051282051282051,0.09487179487179487,0.0,Andrew J. Lanza RECAP,0.9051282051282051
62038,62038,100,39,227,51,22,1,7,347,288,58,1,0.11239193083573487,0.654178674351585,0.14697406340057637,0.06340057636887608,0.002881844380403458,0.020172910662824207,0.829971181556196,0.16714697406340057,0.002881844380403458,Andrew J. Lanza RECAP,0.829971181556196
62039,62039,100,64,281,28,15,0,3,391,360,31,0,0.1636828644501279,0.7186700767263428,0.07161125319693094,0.03836317135549872,0.0,0.0076726342710997444,0.9207161125319693,0.0792838874680307,0.0,Andrew J. Lanza RECAP,0.9207161125319693
62040,62040,100,34,245,35,13,1,6,334,292,41,1,0.10179640718562874,0.7335329341317365,0.10479041916167664,0.038922155688622756,0.0029940119760479044,0.017964071856287425,0.874251497005988,0.12275449101796407,0.0029940119760479044,Andrew J. Lanza RECAP,0.874251497005988
62041,62041,100,20,212,30,17,0,2,281,249,32,0,0.0711743772241993,0.7544483985765125,0.10676156583629894,0.060498220640569395,0.0,0.0071174377224199285,0.8861209964412812,0.11387900355871886,0.0,Andrew J. Lanza RECAP,0.8861209964412812
62042,62042,100,33,232,47,23,0,5,340,288,52,0,0.09705882352941177,0.6823529411764706,0.13823529411764707,0.06764705882352941,0.0,0.014705882352941176,0.8470588235294118,0.15294117647058825,0.0,Andrew J. Lanza RECAP,0.8470588235294118
62043,62043,100,19,244,37,16,2,6,324,279,43,2,0.05864197530864197,0.7530864197530864,0.11419753086419752,0.04938271604938271,0.006172839506172839,0.018518518518518517,0.8611111111111112,0.13271604938271606,0.006172839506172839,Andrew J. Lanza RECAP,0.8611111111111112
62044,62044,100,35,249,61,11,1,13,370,295,74,1,0.0945945945945946,0.672972972972973,0.16486486486486487,0.02972972972972973,0.002702702702702703,0.03513513513513514,0.7972972972972973,0.2,0.002702702702702703,Andrew J. Lanza RECAP,0.7972972972972973
62045,62045,100,27,188,37,14,0,9,275,229,46,0,0.09818181818181818,0.6836363636363636,0.13454545454545455,0.05090909090909091,0.0,0.03272727272727273,0.8327272727272728,0.16727272727272727,0.0,Andrew J. Lanza RECAP,0.8327272727272728
62046,62046,100,33,260,29,13,0,4,339,306,33,0,0.09734513274336283,0.7669616519174042,0.0855457227138643,0.038348082595870206,0.0,0.011799410029498525,0.9026548672566371,0.09734513274336283,0.0,Andrew J. Lanza RECAP,0.9026548672566371
62047,62047,100,25,240,41,10,0,5,321,275,46,0,0.0778816199376947,0.7476635514018691,0.1277258566978193,0.03115264797507788,0.0,0.01557632398753894,0.8566978193146417,0.14330218068535824,0.0,Andrew J. Lanza RECAP,0.8566978193146417
62048,62048,100,30,190,26,13,0,6,265,233,32,0,0.11320754716981132,0.7169811320754716,0.09811320754716982,0.04905660377358491,0.0,0.022641509433962263,0.879245283018868,0.12075471698113208,0.0,Andrew J. Lanza RECAP,0.879245283018868
62049,62049,100,34,260,51,14,0,6,365,308,57,0,0.09315068493150686,0.7123287671232876,0.13972602739726028,0.038356164383561646,0.0,0.01643835616438356,0.8438356164383561,0.15616438356164383,0.0,Andrew J. Lanza RECAP,0.8438356164383561
