ED,Reported As,Reporting,Elias J. Weir (Conservative),Dell Smitherman (Working Families),Scattered,John L. Sampson (Democratic),Total Votes,Elias J. Weir RECAP,Dell Smitherman RECAP,Scattered RECAP,John L. Sampson RECAP,p_Elias J. Weir (Conservative),p_Dell Smitherman (Working Families),p_Scattered,p_John L. Sampson (Democratic),p_Elias J. Weir RECAP,p_Dell Smitherman RECAP,p_Scattered RECAP,p_John L. Sampson RECAP,winner,winner_p
55056,55056,100,0,1,0,14,15,0,1,0,14,0.0,0.06666666666666667,0.0,0.9333333333333333,0.0,0.06666666666666667,0.0,0.9333333333333333,John L. Sampson RECAP,0.9333333333333333
55060,55060,100,0,3,0,36,39,0,3,0,36,0.0,0.07692307692307693,0.0,0.9230769230769231,0.0,0.07692307692307693,0.0,0.9230769230769231,John L. Sampson RECAP,0.9230769230769231
55062,55062,100,1,2,0,148,151,1,2,0,148,0.006622516556291391,0.013245033112582781,0.0,0.9801324503311258,0.006622516556291391,0.013245033112582781,0.0,0.9801324503311258,John L. Sampson RECAP,0.9801324503311258
55063,55063,100,1,5,1,58,65,1,5,1,58,0.015384615384615385,0.07692307692307693,0.015384615384615385,0.8923076923076924,0.015384615384615385,0.07692307692307693,0.015384615384615385,0.8923076923076924,John L. Sampson RECAP,0.8923076923076924
55064,55064,100,1,6,0,158,165,1,6,0,158,0.006060606060606061,0.03636363636363636,0.0,0.9575757575757575,0.006060606060606061,0.03636363636363636,0.0,0.9575757575757575,John L. Sampson RECAP,0.9575757575757575
55074,55074,100,2,1,0,129,132,2,1,0,129,0.015151515151515152,0.007575757575757576,0.0,0.9772727272727273,0.015151515151515152,0.007575757575757576,0.0,0.9772727272727273,John L. Sampson RECAP,0.9772727272727273
55075,55075,100,1,13,0,119,133,1,13,0,119,0.007518796992481203,0.09774436090225563,0.0,0.8947368421052632,0.007518796992481203,0.09774436090225563,0.0,0.8947368421052632,John L. Sampson RECAP,0.8947368421052632
55077,55077,100,0,2,0,31,33,0,2,0,31,0.0,0.06060606060606061,0.0,0.9393939393939394,0.0,0.06060606060606061,0.0,0.9393939393939394,John L. Sampson RECAP,0.9393939393939394
55099,55099,100,1,5,0,175,181,1,5,0,175,0.0055248618784530384,0.027624309392265192,0.0,0.9668508287292817,0.0055248618784530384,0.027624309392265192,0.0,0.9668508287292817,John L. Sampson RECAP,0.9668508287292817
55105,55105,100,0,3,0,23,26,0,3,0,23,0.0,0.11538461538461539,0.0,0.8846153846153846,0.0,0.11538461538461539,0.0,0.8846153846153846,John L. Sampson RECAP,0.8846153846153846
55107,55107,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
