ED,Reported As,Reporting,Scattered,Velmanette Montgomery (Democratic),Velmanette Montgomery (Working Families),Total Votes,Scattered RECAP,Velmanette Montgomery RECAP,p_Scattered,p_Velmanette Montgomery (Democratic),p_Velmanette Montgomery (Working Families),p_Scattered RECAP,p_Velmanette Montgomery RECAP,winner,winner_p
52091,52091,100,1,83,48,132,1,131,0.007575757575757576,0.6287878787878788,0.36363636363636365,0.007575757575757576,0.9924242424242424,Velmanette Montgomery RECAP,0.9924242424242424
52095,52095,100,0,11,6,17,0,17,0.0,0.6470588235294118,0.35294117647058826,0.0,1.0,Velmanette Montgomery RECAP,1.0
52096,52096,100,1,168,89,258,1,257,0.003875968992248062,0.6511627906976745,0.3449612403100775,0.003875968992248062,0.9961240310077519,Velmanette Montgomery RECAP,0.9961240310077519
52097,52097,100,1,129,44,174,1,173,0.005747126436781609,0.7413793103448276,0.25287356321839083,0.005747126436781609,0.9942528735632183,Velmanette Montgomery RECAP,0.9942528735632183
52098,52098,100,2,193,77,272,2,270,0.007352941176470588,0.7095588235294118,0.28308823529411764,0.007352941176470588,0.9926470588235294,Velmanette Montgomery RECAP,0.9926470588235294
52099,52099,100,1,182,100,283,1,282,0.0035335689045936395,0.6431095406360424,0.35335689045936397,0.0035335689045936395,0.9964664310954063,Velmanette Montgomery RECAP,0.9964664310954063
52100,52100,100,3,103,46,152,3,149,0.019736842105263157,0.6776315789473685,0.3026315789473684,0.019736842105263157,0.9802631578947368,Velmanette Montgomery RECAP,0.9802631578947368
52102,52102,100,0,1,0,1,0,1,0.0,1.0,0.0,0.0,1.0,Velmanette Montgomery RECAP,1.0
52104,52104,100,2,189,42,233,2,231,0.008583690987124463,0.8111587982832618,0.18025751072961374,0.008583690987124463,0.9914163090128756,Velmanette Montgomery RECAP,0.9914163090128756
52106,52106,100,0,3,0,3,0,3,0.0,1.0,0.0,0.0,1.0,Velmanette Montgomery RECAP,1.0
52108,52102,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
52112,52112,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
52113,52112,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
52114,52114,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
54015,54015,100,0,68,11,79,0,79,0.0,0.8607594936708861,0.13924050632911392,0.0,1.0,Velmanette Montgomery RECAP,1.0
54026,54026,100,0,9,2,11,0,11,0.0,0.8181818181818182,0.18181818181818182,0.0,1.0,Velmanette Montgomery RECAP,1.0
55002,55002,100,0,50,11,61,0,61,0.0,0.819672131147541,0.18032786885245902,0.0,1.0,Velmanette Montgomery RECAP,1.0
55004,55004,100,0,207,19,226,0,226,0.0,0.915929203539823,0.084070796460177,0.0,1.0,Velmanette Montgomery RECAP,1.0
55008,55008,100,0,31,4,35,0,35,0.0,0.8857142857142857,0.11428571428571428,0.0,1.0,Velmanette Montgomery RECAP,1.0
55009,55009,100,3,124,7,134,3,131,0.022388059701492536,0.9253731343283582,0.05223880597014925,0.022388059701492536,0.9776119402985075,Velmanette Montgomery RECAP,0.9776119402985075
55010,55010,100,0,170,9,179,0,179,0.0,0.9497206703910615,0.05027932960893855,0.0,1.0,Velmanette Montgomery RECAP,1.0
55011,55011,100,0,164,10,174,0,174,0.0,0.9425287356321839,0.05747126436781609,0.0,1.0,Velmanette Montgomery RECAP,1.0
55012,55012,100,0,174,19,193,0,193,0.0,0.9015544041450777,0.09844559585492228,0.0,1.0,Velmanette Montgomery RECAP,1.0
55017,55017,100,0,79,0,79,0,79,0.0,1.0,0.0,0.0,1.0,Velmanette Montgomery RECAP,1.0
55018,55018,100,1,223,16,240,1,239,0.004166666666666667,0.9291666666666667,0.06666666666666667,0.004166666666666667,0.9958333333333333,Velmanette Montgomery RECAP,0.9958333333333333
55019,55019,100,0,214,11,225,0,225,0.0,0.9511111111111111,0.04888888888888889,0.0,1.0,Velmanette Montgomery RECAP,1.0
55020,55020,100,1,153,5,159,1,158,0.006289308176100629,0.9622641509433962,0.031446540880503145,0.006289308176100629,0.9937106918238994,Velmanette Montgomery RECAP,0.9937106918238994
55021,55021,100,0,120,8,128,0,128,0.0,0.9375,0.0625,0.0,1.0,Velmanette Montgomery RECAP,1.0
55022,55022,100,0,123,1,124,0,124,0.0,0.9919354838709677,0.008064516129032258,0.0,1.0,Velmanette Montgomery RECAP,1.0
